date,open,high,low,close,volume
2016-07-29,115.24,119.93,115.24,117.97,880073
2016-08-01,118.12,119.55,118.12,119.5,561785
2016-08-02,119.5,119.9,117.5,118.91,586770
2016-08-03,119.05,119.85,118.32,118.58,371965
2016-08-04,118.73,121.57,118.46,121.41,549692
2016-08-05,121.62,122.98,120.0,120.25,476817
2016-08-08,120.0,120.31,118.33,120.26,365510
2016-08-09,120.81,124.06,120.81,123.33,619672
2016-08-10,123.7,124.26,121.46,123.46,364500
2016-08-11,123.28,124.72,122.99,124.09,389947
2016-08-12,123.81,123.96,122.24,123.69,233100
2016-08-15,123.81,124.43,123.22,123.39,314061
2016-08-16,122.8,123.26,121.83,122.46,250529
2016-08-17,122.9,122.9,120.49,121.76,261279
2016-08-18,122.23,123.91,121.05,121.52,262344
2016-08-19,121.0,122.06,120.35,121.43,369444
2016-08-22,121.02,121.61,120.09,120.67,321338
2016-08-23,121.01,121.48,120.57,121.07,346735
2016-08-24,121.49,121.93,117.04,117.4,346596
2016-08-25,117.0,119.19,116.21,116.94,298097
2016-08-26,117.28,118.99,116.36,118.76,262123
2016-08-29,119.03,121.44,118.9,120.71,303057
2016-08-30,120.57,120.96,119.03,119.34,221260
2016-08-31,119.5,119.5,117.6,117.94,303737
2016-09-01,117.98,118.57,117.05,117.63,305272
2016-09-02,118.0,118.0,116.72,117.43,328959
2016-09-06,117.15,118.33,117.15,117.98,325284
2016-09-07,118.39,119.06,117.73,119.04,401181
2016-09-08,118.65,120.09,118.65,119.87,266837
2016-09-09,119.11,120.1,116.3,116.37,370719
2016-09-12,115.56,119.48,114.57,119.34,343308
2016-09-13,118.8,119.14,116.79,117.38,299795
2016-09-14,117.37,119.26,117.37,118.52,249612
2016-09-15,118.79,123.94,118.09,123.17,406503
2016-09-16,122.91,125.04,122.3,124.93,650238
2016-09-19,125.14,127.1,123.65,125.1,525995
2016-09-20,126.07,126.45,124.89,125.1,247596
2016-09-21,125.63,127.19,124.43,126.9,309869
2016-09-22,127.86,127.86,126.17,126.37,334204
2016-09-23,126.03,126.09,123.06,123.53,293179
2016-09-26,123.25,127.22,122.26,126.72,429545
2016-09-27,127.2,131.11,126.08,129.19,613061
2016-09-28,129.12,130.22,127.74,129.89,312802
2016-09-29,130.27,131.16,126.18,128.42,483443
2016-09-30,128.63,129.84,127.81,128.58,368169
2016-10-03,127.94,128.7,126.18,127.8,364925
2016-10-04,128.48,129.1,126.36,127.37,335862
2016-10-05,127.49,128.5,126.7,127.45,406572
2016-10-06,127.5,128.79,126.02,128.5,394353
2016-10-07,128.58,129.54,126.53,128.47,352183
2016-10-10,128.9,132.95,128.7,131.74,269224
2016-10-11,131.73,131.73,126.53,127.58,307978
2016-10-12,127.88,128.28,126.93,127.34,207038
2016-10-13,126.75,128.5,126.05,127.71,177656
2016-10-14,128.01,128.5,126.61,127.06,199049
2016-10-17,127.0,129.37,126.39,127.95,333901
2016-10-18,128.97,131.39,127.99,129.07,194238
2016-10-19,129.5,129.67,127.12,127.87,220241
2016-10-20,126.5,127.58,123.35,125.27,630394
2016-10-21,124.91,126.06,123.73,124.85,311778
2016-10-24,125.88,127.5,125.31,125.61,261657
2016-10-25,125.62,126.49,121.61,121.97,386717
2016-10-26,119.9,120.25,109.38,111.53,2881881
2016-10-27,101.51,104.4,95.14,103.32,3944080
2016-10-28,103.01,106.29,101.28,105.13,1547443
2016-10-31,104.34,105.23,102.17,104.99,891429
2016-11-01,106.03,106.15,104.34,105.75,736411
2016-11-02,104.97,104.97,103.01,104.17,865116
2016-11-03,104.31,104.68,101.79,102.51,574575
